award_id,cancelled_trump,title,directorate,start_date,year,state,org_name,end_date,award_amount
"=""2111561""",no,"Improving Engineering Student Engagement, Self-Efficacy, Diversity Awareness, and Retention using Visualization and Virtual/Augmented Reality Technologies",DUE,10/15/2021,2021,NE,University of Nebraska-Lincoln,11/30/2021,1700000.0
"=""2114791""",no,FW-HTF-P/Collaborative Research: Exploring Tools to Help Workers and Organizations Adapt to AI-enabled Robots,IIS,10/01/2021,2021,CA,Stanford University,12/31/2021,77198.0
"=""2132301""",no,Cyber-Physical Systems Virtual Organization: CPS Community and the Data Revolution,CNS,10/01/2021,2021,AZ,University of Arizona,10/31/2021,1200000.0
"=""2106972""",no,III: Medium: Collaborative Research: Self-Supervised Recommender System Learning with Application Specific Adaption,IIS,10/01/2021,2021,FL,Florida State University,11/30/2021,600000.0
"=""2108837""",no,Modulation of Metalloprotein Activities through Fine-tuning Reduction Potentials,CHE,10/01/2021,2021,IL,University of Illinois at Urbana-Champaign,12/31/2021,561000.0
"=""2128926""",no,FW-HTF-T/Collaborative Research: Occupational Exoskeletons and the Human-Technology Partnership: Achieving Scale and Integration into the Future of Work,OIA,10/01/2021,2021,VA,Virginia Polytechnic Institute and State University,12/31/2021,3574513.0
"=""2044972""",no,CAREER: Understanding the Corrosion Fatigue Behavior of Additively Processed Metals through an Integrated Experimental and Computational Approach,CMMI,10/01/2021,2021,OH,University of Cincinnati Main Campus,10/31/2021,594948.0
"=""2107530""",no,Collaborative Research: OAC CORE: Large-Scale Spatial Machine Learning for 3D Surface Topology in Hydrological Applications,OAC,10/01/2021,2021,AL,University of Alabama Tuscaloosa,10/31/2021,261161.0
"=""2101881""",no,CNS Core: Small: Fast or Dynamic Websites? Eliminating the Need to Choose,CNS,10/01/2021,2021,CA,University of California-Los Angeles,10/31/2021,500000.0
"=""2114294""",no,Collaborative Research: CIF: FET: Small: Realizing Joint Detection Receivers for Quantum-enhanced Optical Communications using Photonic NISQ-era Quantum Processors,CCF,10/01/2021,2021,AZ,University of Arizona,12/31/2021,194087.0
