award_id,cancelled_trump,title,directorate,start_date,state,org_name,end_date,year,award_amount
"=""2018902""",yes,RCN-UBE Incubator: Undergraduate Learning Environments in Biology,DBI,12/15/2020,FL,The University of Central Florida Board of Trustees,01/31/2021,2021,74319.0
"=""2008532""",yes,RI: Small: A Study of New Aggregate Losses for Machine Learning,IIS,10/01/2020,NY,SUNY at Albany,12/31/2020,2020,449985.0
"=""2005784""",yes,Empowering Informal Educators to Prepare Future Generations in Wireless Radio Communications with Mobile Resources,DRL,10/01/2020,MA,Concord Consortium,10/31/2020,2020,2279188.0
"=""1948175""",yes,CRII: SaTC: Securing Internet of Things Against Cache-based Attacks,CNS,10/01/2020,NY,Rochester Institute of Tech,10/31/2020,2020,172235.0
"=""2007716""",yes,III: Small: Deep Generative Models for Temporal Graph Generation and Interpretation,IIS,10/01/2020,VA,George Mason University,12/31/2020,2020,498050.0
"=""2007922""",yes,Collaborative Research:CNS Core:Small:Towards Efficient Cloud Services,CNS,10/01/2020,VA,College of William and Mary,10/31/2020,2020,249840.0
"=""2018393""",yes,Collaborative Research: FMitF: Track I: Game Theoretic Updates for Network and Cloud Functions,CCF,10/01/2020,MA,University of Massachusetts Amherst,01/31/2021,2021,295000.0
"=""2007961""",yes,AF: Small: Expanding the Reach of Topological Data Analysis,CCF,10/01/2020,OH,"OHIO STATE UNIVERSITY, THE",10/31/2020,2020,350000.0
"=""2007976""",yes,OAC Core: SMALL: DeepJIMU: Model-Parallelism Infrastructure for Large-scale Deep Learning by Gradient-Free Optimization,OAC,10/01/2020,VA,George Mason University,12/31/2020,2020,498609.0
"=""1954224""",yes,SaTC: Frontiers: Collaborative: Protecting Personal Data Flow on the Internet,CNS,10/01/2020,IA,University of Iowa,01/31/2021,2021,210794.0
"=""2037405""",yes,SenSE:Wearable hybrid biochemical and biophysical sensing systems integrated with robust artificial intelligence for monitoring COVID-19 patients,ECCS,09/15/2020,MO,University of Missouri-Columbia,01/31/2021,2021,737504.0
